Item,Fornecedor,Valor unitário,Fonte,Data
Papel A4 75g (500 folhas),Papelaria Central,24.5,ComprasNet,2025-09-20
Caneta esferográfica azul,OfficePlus,1.9,LicitaNet,2025-09-18
Caderno universitário 200 folhas,MegaOffice,15.75,PNCP,2025-09-25
Resma de papel reciclado 75g,ReciclaPapéis,27.3,ComprasGov,2025-09-19
Tinta para impressora HP 662,PrintMax,89.9,ComprasNet,2025-09-21
Monitor 24 polegadas,TechView,799.0,PNCP,2025-09-10
Mouse sem fio,DigitalStore,59.9,LicitaNet,2025-09-15
Teclado multimídia,TechView,74.9,ComprasNet,2025-09-12
Cadeira ergonômica,MoveOffice,469.0,ComprasGov,2025-09-07
Mesa para escritório,MoveOffice,749.9,ComprasGov,2025-09-11
